,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,HEAD_DEP_BOUNDS_IN,STREAM_LEAKAGE_IN,UZF_RECHARGE_IN,GW_ET_IN,SURFACE_LEAKAGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,HEAD_DEP_BOUNDS_OUT,STREAM_LEAKAGE_OUT,UZF_RECHARGE_OUT,GW_ET_OUT,SURFACE_LEAKAGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2011-02-01,2092796.5,0.0,482587.88,2091445.1,3314955.8,3711355.8,0.0,0.0,306725.5,11999866.0,5377830.5,0.0,0.0,3361090.0,1583878.6,0.0,31584.742,43550.824,1579007.2,11976942.0,22924.0,0.19
2011-03-01,1719702.0,0.0,482587.88,2118923.0,2508254.2,4060734.2,0.0,0.0,306681.66,11196883.0,4247396.0,0.0,0.0,3221070.5,2019417.6,0.0,83005.71,44628.51,1553735.6,11169255.0,27628.0,0.25
2011-04-01,1568810.5,0.0,482587.88,2133954.2,2045594.8,3744297.0,0.0,0.0,306616.25,10281860.0,3593963.5,0.0,0.0,3131825.8,1660507.0,0.0,523391.12,44534.484,1319809.2,10274030.0,7830.0,0.08
2011-05-01,3007817.8,0.0,482587.88,2148093.8,1652528.8,2699415.5,0.0,0.0,306543.47,10296987.0,1859933.9,0.0,0.0,3034545.8,1274242.2,0.0,2214798.5,37989.395,1849740.5,10271250.0,25737.0,0.25
2011-06-01,3110234.5,0.0,482587.88,2157431.8,1572466.0,2425200.5,0.0,0.0,306546.3,10054466.0,1370927.4,0.0,0.0,2997800.8,1193727.9,0.0,2189948.0,33413.92,2260706.2,10046524.0,7942.0,0.08
2011-07-01,3338479.5,0.0,482587.88,2163768.0,1452151.0,2192772.5,0.0,0.0,306526.6,9936286.0,1049726.8,0.0,0.0,2970098.5,1073911.9,0.0,2003404.9,26207.7,2805509.0,9928858.0,7428.0,0.07
2011-08-01,2729953.0,0.0,482587.88,2168707.8,1887892.4,2114790.0,0.0,0.0,306516.94,9690449.0,2256635.5,0.0,0.0,2952713.5,1172792.5,0.0,328424.56,24323.23,2953252.0,9688141.0,2308.0,0.02
2011-09-01,2658585.5,0.0,482587.88,2172378.0,1436013.8,2078563.4,0.0,0.0,306504.72,9134633.0,960808.56,0.0,0.0,2940822.2,1058128.0,0.0,1390481.0,22990.994,2752850.5,9126082.0,8551.0,0.09
2011-10-01,2212452.0,0.0,482587.88,2175188.0,1483144.5,2025665.8,0.0,0.0,306483.62,8685522.0,885843.06,0.0,0.0,2938256.2,1105127.6,0.0,1160956.0,23370.508,2568578.2,8682132.0,3390.0,0.04
2011-11-01,1677641.2,0.0,482587.88,2177494.2,1547839.4,2081722.4,0.0,0.0,306474.72,8273759.5,1293787.6,0.0,0.0,2940851.5,1170361.2,0.0,886188.44,24712.578,1949504.4,8265405.5,8354.0,0.1
2011-12-01,1306133.0,0.0,482587.88,2179344.5,1693011.2,2140155.2,0.0,0.0,306482.28,8107714.5,1808803.4,0.0,0.0,2963358.2,1317665.8,0.0,422795.03,27935.324,1554963.5,8095521.0,12193.5,0.15
2012-01-01,1381155.5,0.0,482587.88,2180812.0,1646148.6,2188893.8,0.0,0.0,306451.3,8186049.5,2054062.0,0.0,0.0,2982434.8,1259162.2,0.0,803057.56,29482.254,1048933.4,8177132.5,8917.0,0.11
2012-02-01,1263416.5,0.0,482587.88,2182045.2,1677789.0,2073824.5,0.0,0.0,365756.75,8045420.0,1576342.5,0.0,0.0,2988667.5,1303724.1,0.0,611629.2,31200.887,1523854.1,8035418.0,10002.0,0.12
2012-03-01,1245430.1,0.0,482587.88,2182858.0,1727607.9,2037587.9,0.0,0.0,365785.97,8041858.0,1685783.8,0.0,0.0,2975976.5,1332193.6,0.0,373981.1,31966.73,1642316.0,8042217.0,-359.0,-0.0
2012-04-01,1252099.9,0.0,482587.88,2183957.5,1746125.5,2087876.0,0.0,0.0,365849.2,8118496.0,1784774.9,0.0,0.0,2982884.2,1367664.9,0.0,456394.6,32661.338,1495137.2,8119517.0,-1021.0,-0.01
2012-05-01,1948933.6,0.0,482587.88,2184737.0,1632525.1,1874727.5,0.0,0.0,365866.56,8489378.0,1037321.8,0.0,0.0,2948445.2,1254557.6,0.0,1207680.4,31839.672,2009533.4,8489378.0,0.0,0.0
2012-06-01,2838509.5,0.0,482587.88,2185256.8,1427424.6,1729834.4,0.0,0.0,365890.8,9029504.0,668251.1,0.0,0.0,2929199.8,1049291.1,0.0,2039255.8,27965.082,2314296.2,9028259.0,1245.0,0.01
2012-07-01,3070219.2,0.0,482587.88,2185955.8,1384753.6,1630610.2,0.0,0.0,365954.12,9120081.0,560432.0,0.0,0.0,2916880.0,1006639.3,0.0,1722534.2,24872.783,2887956.0,9119315.0,766.0,0.01
2012-08-01,2903419.2,0.0,482587.88,2186836.8,1386950.9,1594024.9,0.0,0.0,365947.44,8919767.0,531573.0,0.0,0.0,2909802.0,1008800.56,0.0,1560904.8,23932.242,2885773.5,8920786.0,-1019.0,-0.01
2012-09-01,2657791.5,0.0,482587.88,2187759.8,1578505.2,1612892.2,0.0,0.0,365904.6,8885441.0,1434244.9,0.0,0.0,2904719.8,1120618.0,0.0,595603.2,23573.092,2806682.0,8885440.0,1.0,0.0
2012-10-01,2347457.2,0.0,482587.88,2188538.8,1425413.0,1612877.9,0.0,0.0,365898.78,8422774.0,565597.7,0.0,0.0,2906724.2,1047224.3,0.0,1262377.0,23701.416,2618135.2,8423760.0,-986.0,-0.01
2012-11-01,1774914.0,0.0,482587.88,2189263.0,1517545.2,1675546.0,0.0,0.0,365866.7,8005722.5,1018400.75,0.0,0.0,2913913.8,1140300.8,0.0,688626.7,25243.191,2212155.0,7998639.5,7083.0,0.09
2012-12-01,1500795.2,0.0,482587.88,2189888.8,1876867.5,1732402.6,0.0,0.0,365838.8,8148381.0,1961488.6,0.0,0.0,2932492.5,1272709.9,0.0,116837.875,27639.61,1829303.0,8140471.5,7909.5,0.1
2013-01-01,1272338.6,0.0,482587.88,2190235.0,1795632.6,2161459.2,0.0,0.0,367224.47,8269477.5,2820546.8,0.0,0.0,2990566.2,1412774.1,0.0,32288.26,30910.771,964236.4,8251323.0,18154.5,0.22
2013-02-01,1258206.5,0.0,482587.88,2190481.5,1795889.5,2065973.4,0.0,0.0,245434.97,8038574.0,1974098.4,0.0,0.0,3011858.5,1393368.2,0.0,103259.14,31568.066,1507015.0,8021167.0,17407.0,0.22
2013-03-01,1374459.2,0.0,482587.88,2190834.0,1745853.9,2012335.9,0.0,0.0,244569.81,8050641.0,1597704.8,0.0,0.0,3008829.0,1348987.6,0.0,529390.0,32111.48,1519257.8,8036281.0,14360.0,0.18
2013-04-01,2162528.0,0.0,482587.88,2191282.0,1554708.0,1768536.2,0.0,0.0,234983.16,8394625.0,1242138.0,0.0,0.0,2958654.5,1176575.9,0.0,1299235.1,30862.592,1669676.6,8377142.5,17482.5,0.21
2013-05-01,2827183.2,0.0,482587.88,2191719.8,1420085.0,1547724.1,0.0,0.0,233661.97,8702962.0,692622.06,0.0,0.0,2932948.2,1042041.9,0.0,1723944.9,25648.441,2288049.2,8705255.0,-2293.0,-0.03
2013-06-01,3188766.2,0.0,482587.88,2192214.2,1359972.5,2112544.5,0.0,0.0,232473.94,9568559.0,1193358.4,0.0,0.0,2917738.2,981874.4,0.0,1841174.5,21497.662,2608757.0,9564400.0,4159.0,0.04
2013-07-01,4045582.2,0.0,482587.88,2192663.0,1292488.5,1344306.4,0.0,0.0,232860.78,9590489.0,414922.44,0.0,0.0,2906629.2,914189.56,0.0,2114558.2,18953.285,3223401.8,9592655.0,-2166.0,-0.02
2013-08-01,3074019.2,0.0,482587.88,2193174.0,1368509.6,1332129.8,0.0,0.0,231438.05,8681858.0,407410.25,0.0,0.0,2901550.2,990472.8,0.0,1268155.2,18621.94,3096024.0,8682235.0,-377.0,-0.0
2013-09-01,2561750.0,0.0,482587.88,2193668.5,1471521.4,1321921.9,0.0,0.0,230590.81,8262041.0,969388.9,0.0,0.0,2898154.0,1042293.5,0.0,571649.7,18266.412,2758547.0,8258299.5,3741.5,0.05
2013-10-01,2206840.2,0.0,482587.88,2194157.0,1414169.6,1310923.0,0.0,0.0,230525.78,7839203.5,472170.03,0.0,0.0,2901215.8,1036276.8,0.0,925780.1,18570.494,2486991.5,7841004.5,-1801.0,-0.02
2013-11-01,1753035.1,0.0,482587.88,2194685.2,1507930.1,1342276.4,0.0,0.0,230504.03,7511018.5,744014.56,0.0,0.0,2909770.0,1125939.0,0.0,582429.56,20469.67,2143390.5,7526013.0,-14994.5,-0.2
2013-12-01,1493798.6,0.0,482587.88,2195013.5,1646112.1,1431675.5,0.0,0.0,235482.77,7484670.5,1462583.9,0.0,0.0,2935958.5,1249109.0,0.0,137254.23,22573.5,1679582.6,7487061.5,-2391.0,-0.03
2014-01-01,1540943.0,0.0,482587.88,2195249.5,1587603.0,1553514.2,0.0,0.0,233458.4,7593356.5,1723899.9,0.0,0.0,2952562.5,1209052.1,0.0,493950.03,24466.307,1180466.9,7584398.0,8958.5,0.12
2014-02-01,1971957.9,0.0,482587.88,2195446.2,1578038.8,1403870.2,0.0,0.0,9084.271,7640985.5,1443340.5,0.0,0.0,2948608.8,1173607.1,0.0,332853.34,21891.904,1721962.2,7642264.0,-1278.5,-0.02
2014-03-01,1515478.5,0.0,482587.88,2195632.2,4227830.0,1835605.1,0.0,0.0,9054.46,10266187.0,4198061.5,0.0,0.0,2940948.8,1237189.1,0.0,34510.812,20253.63,1848164.9,10279129.0,-12942.0,-0.13
2014-04-01,2088730.0,0.0,482587.88,2195657.2,1466091.4,1321428.2,0.0,0.0,9034.854,7563530.0,588793.2,0.0,0.0,2935532.5,1088143.9,0.0,1087892.9,19494.783,1841635.2,7561493.0,2037.0,0.03
2014-05-01,2970722.5,0.0,482587.88,2195650.0,1425950.2,1189860.0,0.0,0.0,9090.281,8273861.5,370908.38,0.0,0.0,2920575.5,1047261.9,0.0,1427867.2,17462.746,2495883.5,8279959.0,-6097.5,-0.07
2014-06-01,3625838.8,0.0,482587.88,2196041.8,1318887.5,1096799.0,0.0,0.0,9154.153,8729308.0,224290.19,0.0,0.0,2907219.8,940694.9,0.0,1616927.8,14426.364,3028214.5,8731774.0,-2466.0,-0.03
