,STORAGE_IN,CONSTANT_HEAD_IN,WELLS_IN,HEAD_DEP_BOUNDS_IN,STREAM_LEAKAGE_IN,UZF_RECHARGE_IN,GW_ET_IN,SURFACE_LEAKAGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,WELLS_OUT,HEAD_DEP_BOUNDS_OUT,STREAM_LEAKAGE_OUT,UZF_RECHARGE_OUT,GW_ET_OUT,SURFACE_LEAKAGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2011-02-01,2092796.5,0.0,482587.88,2091445.1,3314955.8,3711355.8,0.0,0.0,306725.5,11999866.0,5377830.5,0.0,0.0,3361090.0,1583878.6,0.0,31584.742,43550.824,1579007.2,11976942.0,22924.0,0.19
2011-03-01,1719702.0,0.0,482587.88,2118923.0,2508254.2,4060734.2,0.0,0.0,306681.66,11196883.0,4247396.0,0.0,0.0,3221070.5,2019417.6,0.0,83005.71,44628.51,1553735.6,11169255.0,27628.0,0.25
2011-03-04,1584715.6,0.0,482587.88,2120979.5,2184020.0,3664270.5,0.0,0.0,306696.8,10343271.0,3812015.2,0.0,0.0,3213070.0,1770311.5,0.0,133740.34,44802.645,1319666.4,10293605.0,49666.0,0.48
2011-04-01,1568810.5,0.0,482587.88,2133954.2,2045594.8,3744297.0,0.0,0.0,306616.25,10281860.0,3593963.5,0.0,0.0,3131825.8,1660507.0,0.0,523391.12,44534.484,1319809.2,10274030.0,7830.0,0.08
2011-05-01,3007817.8,0.0,482587.88,2148093.8,1652528.8,2699415.5,0.0,0.0,306543.47,10296987.0,1859933.9,0.0,0.0,3034545.8,1274242.2,0.0,2214798.5,37989.395,1849740.5,10271250.0,25737.0,0.25
2011-05-02,3645212.2,0.0,482587.88,2148462.2,1641374.9,2674050.0,0.0,0.0,306506.2,10898193.0,1883791.1,0.0,0.0,3032737.5,1263231.9,0.0,2387388.8,37676.72,2281235.2,10886061.0,12132.0,0.11
2011-06-01,3110234.5,0.0,482587.88,2157431.8,1572466.0,2425200.5,0.0,0.0,306546.3,10054466.0,1370927.4,0.0,0.0,2997800.8,1193727.9,0.0,2189948.0,33413.92,2260706.2,10046524.0,7942.0,0.08
2011-07-01,3338479.5,0.0,482587.88,2163768.0,1452151.0,2192772.5,0.0,0.0,306526.6,9936286.0,1049726.8,0.0,0.0,2970098.5,1073911.9,0.0,2003404.9,26207.7,2805509.0,9928858.0,7428.0,0.07
2011-07-02,3730522.5,0.0,482587.88,2163952.5,1437373.5,2187804.0,0.0,0.0,306569.3,10308809.0,1116832.2,0.0,0.0,2969324.0,1058918.1,0.0,2167148.0,26031.766,2961401.8,10299656.0,9153.0,0.09
2011-08-01,2729953.0,0.0,482587.88,2168707.8,1887892.4,2114790.0,0.0,0.0,306516.94,9690449.0,2256635.5,0.0,0.0,2952713.5,1172792.5,0.0,328424.56,24323.23,2953252.0,9688141.0,2308.0,0.02
2011-09-01,2658585.5,0.0,482587.88,2172378.0,1436013.8,2078563.4,0.0,0.0,306504.72,9134633.0,960808.56,0.0,0.0,2940822.2,1058128.0,0.0,1390481.0,22990.994,2752850.5,9126082.0,8551.0,0.09
2011-10-01,2212452.0,0.0,482587.88,2175188.0,1483144.5,2025665.8,0.0,0.0,306483.62,8685522.0,885843.06,0.0,0.0,2938256.2,1105127.6,0.0,1160956.0,23370.508,2568578.2,8682132.0,3390.0,0.04
2011-10-02,2133802.2,0.0,482587.88,2175273.0,1469123.0,2098140.5,0.0,0.0,306533.3,8665460.0,1342298.5,0.0,0.0,2938131.0,1090901.6,0.0,1314636.0,23318.906,1950339.4,8659625.0,5835.0,0.07
2011-11-01,1677641.2,0.0,482587.88,2177494.2,1547839.4,2081722.4,0.0,0.0,306474.72,8273759.5,1293787.6,0.0,0.0,2940851.5,1170361.2,0.0,886188.44,24712.578,1949504.4,8265405.5,8354.0,0.1
2011-12-01,1306133.0,0.0,482587.88,2179344.5,1693011.2,2140155.2,0.0,0.0,306482.28,8107714.5,1808803.4,0.0,0.0,2963358.2,1317665.8,0.0,422795.03,27935.324,1554963.5,8095521.0,12193.5,0.15
2011-12-02,1351230.0,0.0,482587.88,2179396.0,1696687.2,2253917.2,0.0,0.0,306593.12,8270411.0,2567345.0,0.0,0.0,2963468.8,1326793.2,0.0,316746.56,28052.367,1049819.8,8252226.0,18185.0,0.22
2012-01-01,1381155.5,0.0,482587.88,2180812.0,1646148.6,2188893.8,0.0,0.0,306451.3,8186049.5,2054062.0,0.0,0.0,2982434.8,1259162.2,0.0,803057.56,29482.254,1048933.4,8177132.5,8917.0,0.11
2012-02-01,1263416.5,0.0,482587.88,2182045.2,1677789.0,2073824.5,0.0,0.0,365756.75,8045420.0,1576342.5,0.0,0.0,2988667.5,1303724.1,0.0,611629.2,31200.887,1523854.1,8035418.0,10002.0,0.12
2012-03-01,1245430.1,0.0,482587.88,2182858.0,1727607.9,2037587.9,0.0,0.0,365785.97,8041858.0,1685783.8,0.0,0.0,2975976.5,1332193.6,0.0,373981.1,31966.73,1642316.0,8042217.0,-359.0,-0.0
2012-03-03,1261907.1,0.0,482587.88,2182992.2,1662800.4,2040862.6,0.0,0.0,365794.72,7996944.5,1485203.6,0.0,0.0,2976477.8,1283657.1,0.0,717412.94,31910.63,1494236.5,7988898.5,8046.0,0.1
2012-04-01,1252099.9,0.0,482587.88,2183957.5,1746125.5,2087876.0,0.0,0.0,365849.2,8118496.0,1784774.9,0.0,0.0,2982884.2,1367664.9,0.0,456394.6,32661.338,1495137.2,8119517.0,-1021.0,-0.01
2012-05-01,1948933.6,0.0,482587.88,2184737.0,1632525.1,1874727.5,0.0,0.0,365866.56,8489378.0,1037321.8,0.0,0.0,2948445.2,1254557.6,0.0,1207680.4,31839.672,2009533.4,8489378.0,0.0,0.0
2012-05-02,2046107.1,0.0,482587.88,2184730.0,1616307.4,1839318.4,0.0,0.0,365865.38,8534916.0,985135.5,0.0,0.0,2947706.2,1238067.5,0.0,990651.94,31867.84,2323966.0,8517395.0,17521.0,0.21
2012-06-01,2838509.5,0.0,482587.88,2185256.8,1427424.6,1729834.4,0.0,0.0,365890.8,9029504.0,668251.1,0.0,0.0,2929199.8,1049291.1,0.0,2039255.8,27965.082,2314296.2,9028259.0,1245.0,0.01
2012-07-01,3070219.2,0.0,482587.88,2185955.8,1384753.6,1630610.2,0.0,0.0,365954.12,9120081.0,560432.0,0.0,0.0,2916880.0,1006639.3,0.0,1722534.2,24872.783,2887956.0,9119315.0,766.0,0.01
2012-07-02,3020498.0,0.0,482587.88,2186017.8,1395983.6,1620919.6,0.0,0.0,365986.4,9071993.0,669736.6,0.0,0.0,2916503.5,1017996.7,0.0,1550162.1,24858.875,2890418.0,9069676.0,2317.0,0.03
2012-08-01,2903419.2,0.0,482587.88,2186836.8,1386950.9,1594024.9,0.0,0.0,365947.44,8919767.0,531573.0,0.0,0.0,2909802.0,1008800.56,0.0,1560904.8,23932.242,2885773.5,8920786.0,-1019.0,-0.01
2012-09-01,2657791.5,0.0,482587.88,2187759.8,1578505.2,1612892.2,0.0,0.0,365904.6,8885441.0,1434244.9,0.0,0.0,2904719.8,1120618.0,0.0,595603.2,23573.092,2806682.0,8885440.0,1.0,0.0
2012-10-01,2347457.2,0.0,482587.88,2188538.8,1425413.0,1612877.9,0.0,0.0,365898.78,8422774.0,565597.7,0.0,0.0,2906724.2,1047224.3,0.0,1262377.0,23701.416,2618135.2,8423760.0,-986.0,-0.01
2012-10-02,2351747.0,0.0,482587.88,2188562.8,1410756.4,1661500.2,0.0,0.0,365933.62,8461089.0,907746.94,0.0,0.0,2906743.0,1032527.2,0.0,1376476.9,23634.012,2213466.2,8460594.0,495.0,0.01
2012-11-01,1774914.0,0.0,482587.88,2189263.0,1517545.2,1675546.0,0.0,0.0,365866.7,8005722.5,1018400.75,0.0,0.0,2913913.8,1140300.8,0.0,688626.7,25243.191,2212155.0,7998639.5,7083.0,0.09
2012-12-01,1500795.2,0.0,482587.88,2189888.8,1876867.5,1732402.6,0.0,0.0,365838.8,8148381.0,1961488.6,0.0,0.0,2932492.5,1272709.9,0.0,116837.875,27639.61,1829303.0,8140471.5,7909.5,0.1
2012-12-02,1451590.2,0.0,482587.88,2189909.8,1674300.8,1870315.4,0.0,0.0,365916.38,8034621.0,2603819.0,0.0,0.0,2933491.2,1274103.9,0.0,215825.84,27760.627,976470.3,8031471.0,3150.0,0.04
2013-01-01,1272338.6,0.0,482587.88,2190235.0,1795632.6,2161459.2,0.0,0.0,367224.47,8269477.5,2820546.8,0.0,0.0,2990566.2,1412774.1,0.0,32288.26,30910.771,964236.4,8251323.0,18154.5,0.22
2013-02-01,1258206.5,0.0,482587.88,2190481.5,1795889.5,2065973.4,0.0,0.0,245434.97,8038574.0,1974098.4,0.0,0.0,3011858.5,1393368.2,0.0,103259.14,31568.066,1507015.0,8021167.0,17407.0,0.22
2013-03-01,1374459.2,0.0,482587.88,2190834.0,1745853.9,2012335.9,0.0,0.0,244569.81,8050641.0,1597704.8,0.0,0.0,3008829.0,1348987.6,0.0,529390.0,32111.48,1519257.8,8036281.0,14360.0,0.18
2013-03-04,1701946.9,0.0,482587.88,2190862.2,1690260.0,1982134.4,0.0,0.0,243731.11,8291522.5,1570480.4,0.0,0.0,2999878.0,1311529.8,0.0,666850.9,31914.531,1677847.1,8258500.5,33022.0,0.4
2013-04-01,2162528.0,0.0,482587.88,2191282.0,1554708.0,1768536.2,0.0,0.0,234983.16,8394625.0,1242138.0,0.0,0.0,2958654.5,1176575.9,0.0,1299235.1,30862.592,1669676.6,8377142.5,17482.5,0.21
2013-05-01,2827183.2,0.0,482587.88,2191719.8,1420085.0,1547724.1,0.0,0.0,233661.97,8702962.0,692622.06,0.0,0.0,2932948.2,1042041.9,0.0,1723944.9,25648.441,2288049.2,8705255.0,-2293.0,-0.03
2013-05-02,3489870.0,0.0,482587.88,2191733.0,1406146.6,1527793.9,0.0,0.0,234069.81,9332201.0,725929.5,0.0,0.0,2932123.5,1028107.4,0.0,2006493.5,25373.166,2613406.8,9331434.0,767.0,0.01
2013-06-01,3188766.2,0.0,482587.88,2192214.2,1359972.5,2112544.5,0.0,0.0,232473.94,9568559.0,1193358.4,0.0,0.0,2917738.2,981874.4,0.0,1841174.5,21497.662,2608757.0,9564400.0,4159.0,0.04
