year,month,day,d1,d2,d3,tmx,tmx2,tmx3,tmx4,tmn,tmn2,tmn3,tmn4,ppt,sr1,sr2,sr3,sr4
1947,1,1,0,0,0,15,11.25,6.23,0.76,2.22,2.06,-5.24,-6.17,0,0,-901,-901,-901
1947,1,2,0,0,0,14.44,10.69,5.67,0.2,1.67,1.51,-5.79,-6.72,0,0,-901,-901,-901
1947,1,3,0,0,0,14.44,10.69,5.67,0.2,-2.22,-2.38,-9.68,-10.61,0,0,-901,-901,-901
1947,1,4,0,0,0,21.67,17.92,12.9,7.43,0,-0.16,-7.46,-8.39,0,0,-901,-901,-901
1947,1,5,0,0,0,22.78,19.03,14.01,8.54,2.78,2.62,-4.68,-5.61,0,0,-901,-901,-901
1947,1,6,0,0,0,16.67,12.92,7.9,2.43,3.89,3.73,-3.57,-4.5,0,0,-901,-901,-901
1947,1,7,0,0,0,20,16.25,11.23,5.76,5,4.84,-2.46,-3.39,0,0,-901,-901,-901
1947,1,8,0,0,0,21.67,17.92,12.9,7.43,2.22,2.06,-5.24,-6.17,0,0,-901,-901,-901
1947,1,9,0,0,0,21.67,17.92,12.9,7.43,2.78,2.62,-4.68,-5.61,0,0,-901,-901,-901
1947,1,10,0,0,0,21.67,17.92,12.9,7.43,2.78,2.62,-4.68,-5.61,0,0,-901,-901,-901
1947,1,11,0,0,0,19.44,15.69,10.67,5.2,3.89,3.73,-3.57,-4.5,0,0,-901,-901,-901
1947,1,12,0,0,0,10,6.25,1.23,-4.24,1.67,1.51,-5.79,-6.72,0,0,-901,-901,-901
1947,1,13,0,0,0,13.89,10.14,5.12,-0.35,6.67,6.51,-0.79,-1.72,0,0,-901,-901,-901
1947,1,14,0,0,0,12.22,8.47,3.45,-2.02,3.33,3.17,-4.13,-5.06,0,0,-901,-901,-901
1947,1,15,0,0,0,13.89,10.14,5.12,-0.35,0,-0.16,-7.46,-8.39,0,0,-901,-901,-901
1947,1,16,0,0,0,16.11,12.36,7.34,1.87,-1.67,-1.83,-9.13,-10.06,0,0,-901,-901,-901
1947,1,17,0,0,0,20.56,16.81,11.79,6.32,5.56,5.4,-1.9,-2.83,0,0,-901,-901,-901
1947,1,18,0,0,0,20,16.25,11.23,5.76,1.11,0.95,-6.35,-7.28,0,0,-901,-901,-901
1947,1,19,0,0,0,19.44,15.69,10.67,5.2,1.11,0.95,-6.35,-7.28,0,0,-901,-901,-901
1947,1,20,0,0,0,24.44,20.69,15.67,10.2,1.11,0.95,-6.35,-7.28,0,0,-901,-901,-901
1947,1,21,0,0,0,23.89,20.14,15.12,9.65,3.89,3.73,-3.57,-4.5,0,0,-901,-901,-901
1947,1,22,0,0,0,23.89,20.14,15.12,9.65,3.89,3.73,-3.57,-4.5,0,0,-901,-901,-901
1947,1,23,0,0,0,22.22,18.47,13.45,7.98,2.78,2.62,-4.68,-5.61,0,0,-901,-901,-901
1947,1,24,0,0,0,24.44,20.69,15.67,10.2,4.44,4.28,-3.02,-3.95,0,0,-901,-901,-901
1947,1,25,0,0,0,28.89,25.14,20.12,14.65,5.56,5.4,-1.9,-2.83,0,0,-901,-901,-901
1947,1,26,0,0,0,25,21.25,16.23,10.76,6.11,5.95,-1.35,-2.28,0,0,-901,-901,-901
1947,1,27,0,0,0,20.56,16.81,11.79,6.32,4.44,4.28,-3.02,-3.95,0,0,-901,-901,-901
1947,1,28,0,0,0,11.11,7.36,2.34,-3.13,6.67,6.51,-0.79,-1.72,0.06,0,-901,-901,-901
1947,1,29,0,0,0,12.78,9.03,4.01,-1.46,-1.11,-1.27,-8.57,-9.5,0.15,0,-901,-901,-901
1947,1,30,0,0,0,15.56,11.81,6.79,1.32,-0.56,-0.72,-8.02,-8.95,0,0,-901,-901,-901
1947,1,31,0,0,0,20.56,16.81,11.79,6.32,0.56,0.4,-6.9,-7.83,0,0,-901,-901,-901
1947,2,1,0,0,0,22.22,18.46,13.43,7.96,4.44,3.19,-3.88,-5.94,0,0,-901,-901,-901
1947,2,2,0,0,0,23.89,20.13,15.1,9.63,5.56,4.31,-2.76,-4.82,0,0,-901,-901,-901
1947,2,3,0,0,0,25.56,21.8,16.77,11.3,5,3.75,-3.32,-5.38,0,0,-901,-901,-901
1947,2,4,0,0,0,25.56,21.8,16.77,11.3,8.89,7.64,0.57,-1.49,0,0,-901,-901,-901
1947,2,5,0,0,0,25,21.24,16.21,10.74,6.67,5.42,-1.65,-3.71,0,0,-901,-901,-901
1947,2,6,0,0,0,23.89,20.13,15.1,9.63,6.11,4.86,-2.21,-4.27,0,0,-901,-901,-901
1947,2,7,0,0,0,21.67,17.91,12.88,7.41,5,3.75,-3.32,-5.38,0,0,-901,-901,-901
1947,2,8,0,0,0,18.89,15.13,10.1,4.63,4.44,3.19,-3.88,-5.94,0,0,-901,-901,-901
1947,2,9,0,0,0,15.56,11.8,6.77,1.3,7.22,5.97,-1.1,-3.16,0,0,-901,-901,-901
1947,2,10,0,0,0,15.56,11.8,6.77,1.3,6.11,4.86,-2.21,-4.27,0.58,0,-901,-901,-901
1947,2,11,0,0,0,22.22,18.46,13.43,7.96,3.33,2.08,-4.99,-7.05,0,0,-901,-901,-901
1947,2,12,0,0,0,20,16.24,11.21,5.74,7.22,5.97,-1.1,-3.16,0,0,-901,-901,-901
1947,2,13,0,0,0,22.78,19.02,13.99,8.52,6.11,4.86,-2.21,-4.27,0,0,-901,-901,-901
1947,2,14,0,0,0,27.22,23.46,18.43,12.96,6.11,4.86,-2.21,-4.27,0,0,-901,-901,-901
1947,2,15,0,0,0,27.22,23.46,18.43,12.96,7.78,6.53,-0.54,-2.6,0,0,-901,-901,-901
1947,2,16,0,0,0,12.22,8.46,3.43,-2.04,5.56,4.31,-2.76,-4.82,0,0,-901,-901,-901
1947,2,17,0,0,0,11.67,7.91,2.88,-2.59,6.11,4.86,-2.21,-4.27,0.15,0,-901,-901,-901
1947,2,18,0,0,0,13.89,10.13,5.1,-0.37,3.89,2.64,-4.43,-6.49,0.06,0,-901,-901,-901
1947,2,19,0,0,0,17.22,13.46,8.43,2.96,2.78,1.53,-5.54,-7.6,0.03,0,-901,-901,-901
1947,2,20,0,0,0,17.22,13.46,8.43,2.96,8.33,7.08,0.01,-2.05,0,0,-901,-901,-901
